Date,case,death,cum.case,cum.death
31-Jan-20,4,0,4,0
1-Feb-20,0,0,4,0
2-Feb-20,0,0,4,0
3-Feb-20,0,0,4,0
4-Feb-20,0,0,4,0
5-Feb-20,0,0,4,0
6-Feb-20,0,0,4,0
7-Feb-20,0,0,4,0
8-Feb-20,3,0,7,0
9-Feb-20,0,0,7,0
10-Feb-20,0,0,7,0
11-Feb-20,0,0,7,0
12-Feb-20,0,0,7,0
13-Feb-20,0,0,7,0
14-Feb-20,0,0,7,0
15-Feb-20,0,0,7,0
16-Feb-20,1,0,8,0
17-Feb-20,0,0,8,0
18-Feb-20,0,0,8,0
19-Feb-20,0,0,8,0
20-Feb-20,0,0,8,0
21-Feb-20,1,0,9,0
22-Feb-20,0,0,9,0
23-Feb-20,0,0,9,0
24-Feb-20,1,0,10,0
25-Feb-20,1,0,11,0
26-Feb-20,1,0,12,0
27-Feb-20,1,0,13,0
28-Feb-20,0,0,13,0
29-Feb-20,2,0,15,0
1-Mar-20,9,0,24,0
2-Mar-20,0,0,24,0
3-Mar-20,9,0,33,0
4-Mar-20,0,0,33,0
5-Mar-20,12,0,45,0
6-Mar-20,6,0,51,0
7-Mar-20,6,0,57,0
8-Mar-20,5,0,62,0
9-Mar-20,15,0,77,0
10-Mar-20,0,0,77,0
11-Mar-20,26,0,103,0
12-Mar-20,35,0,138,0
13-Mar-20,38,0,176,0
14-Mar-20,17,0,193,0
15-Mar-20,56,0,249,0
16-Mar-20,75,0,324,0
17-Mar-20,100,0,424,0
18-Mar-20,145,0,569,0
19-Mar-20,277,0,846,0
20-Mar-20,125,12,971,12
21-Mar-20,331,6,1302,18
22-Mar-20,128,2,1430,20
23-Mar-20,216,4,1646,24
24-Mar-20,313,3,1959,27
25-Mar-20,1426,8,3385,35
26-Mar-20,633,4,4018,39
27-Mar-20,657,14,4675,53
28-Mar-20,711,6,5386,59
29-Mar-20,869,2,6255,61
30-Mar-20,1169,28,7424,89
31-Mar-20,1112,7,8536,96
1-Apr-20,1059,13,9595,109
2-Apr-20,1673,29,11268,138
3-Apr-20,1251,49,12519,187
4-Apr-20,1363,44,13882,231
5-Apr-20,1614,49,15496,280
6-Apr-20,1157,43,16653,323
7-Apr-20,1230,57,17883,380
8-Apr-20,1391,55,19274,435
9-Apr-20,1474,74,20748,509
10-Apr-20,1385,60,22133,569
11-Apr-20,1168,84,23301,653
12-Apr-20,1064,64,24365,717
13-Apr-20,1285,63,25650,780
