Date,case,death,cum.case,cum.death
3/2/20,1,0,1,0
3/3/20,2,0,3,0
3/4/20,10,0,13,0
3/5/20,2,0,15,0
3/6/20,8,0,23,0
3/7/20,13,0,36,0
3/8/20,20,0,56,0
3/9/20,53,0,109,0
3/10/20,73,0,182,0
3/11/20,156,1,338,1
3/12/20,358,1,696,2
3/13/20,617,0,1313,2
3/14/20,637,2,1950,4
3/15/20,1026,6,2976,10
3/16/20,2095,9,5071,19
3/17/20,2389,7,7460,26
3/18/20,2892,21,10352,47
3/19/20,3573,25,13925,72
3/20/20,3762,44,17687,116
3/21/20,2209,36,19896,152
3/22/20,2075,45,21971,197
3/23/20,3151,79,25122,276
3/24/20,3670,88,28792,364
3/25/20,3924,109,32716,473
3/26/20,4084,164,36800,637
3/27/20,4138,175,40938,812
3/28/20,2817,220,43755,1032
3/29/20,2857,241,46612,1273
3/30/20,4572,254,51184,1527
3/31/20,3854,309,55038,1836
4/1/20,4017,311,59055,2147
4/2/20,4739,325,63794,2472
4/3/20,4173,285,67967,2757
4/4/20,2730,272,70697,3029
4/5/20,2212,290,72909,3319
