Date,case,death,cum.case,cum.death
3/3/20,1,0,1,0
3/4/20,5,0,6,0
3/5/20,3,0,9,0
3/6/20,7,0,16,0
3/7/20,7,0,23,0
3/8/20,21,0,44,0
3/9/20,57,0,101,0
3/10/20,70,0,171,0
3/11/20,153,1,324,1
3/12/20,355,1,679,2
3/13/20,616,0,1295,2
3/14/20,636,2,1931,4
3/15/20,1023,6,2954,10
3/16/20,2105,9,5059,19
3/17/20,2390,7,7449,26
3/18/20,2937,21,10386,47
3/19/20,3660,25,14046,72
3/20/20,3962,46,18008,118
3/21/20,2594,41,20602,159
3/22/20,2544,48,23146,207
3/23/20,3489,81,26635,288
3/24/20,4379,92,31014,380
3/25/20,4714,121,35728,501
3/26/20,4887,185,40615,686
3/27/20,4976,206,45591,892
3/28/20,3368,261,48959,1153
3/29/20,3426,277,52385,1430
3/30/20,5990,303,58375,1733
3/31/20,5152,362,63527,2095
4/1/20,4997,402,68524,2497
4/2/20,5627,441,74151,2938
4/3/20,5475,449,79626,3387
4/4/20,3739,463,83365,3850
4/5/20,3592,517,86957,4367
4/6/20,6195,523,93152,4890
4/7/20,5868,546,99020,5436
4/8/20,5376,474,104396,5910
4/9/20,4843,481,109239,6391
4/10/20,4206,453,113445,6844
4/11/20,3535,448,116980,7292
4/12/20,2698,455,119678,7747
4/13/20,3185,453,122863,8200
4/14/20,4000,389,126863,8589
4/15/20,3654,335,130517,8924
4/16/20,3213,274,133730,9198
4/17/20,3100,268,136830,9466
4/18/20,1585,246,138415,9712
4/19/20,1602,221,140017,9933
4/20/20,1309,185,141326,10118
