Date,cum.case,cum.death,case,death
2/15/20,15,0,15,0
2/16/20,15,0,0,0
2/17/20,15,0,0,0
2/18/20,15,0,0,0
2/19/20,15,0,0,0
2/20/20,15,0,0,0
2/21/20,35,0,20,0
2/22/20,35,0,0,0
2/23/20,35,0,0,0
2/24/20,53,0,18,0
2/25/20,57,0,4,0
2/26/20,60,0,3,0
2/27/20,60,0,0,0
2/28/20,63,0,3,0
2/29/20,68,1,5,1
3/1/20,75,1,7,0
3/2/20,100,6,25,5
3/3/20,124,9,24,3
3/4/20,158,11,34,2
3/5/20,221,12,63,1
3/6/20,319,15,98,3
3/7/20,435,19,116,4
3/8/20,541,22,106,3
3/9/20,704,26,163,4
3/10/20,994,30,290,4
3/11/20,1301,38,307,8
3/12/20,1630,41,329,3
3/13/20,2183,48,553,7
3/14/20,2770,57,587,9
3/15/20,3613,69,843,12
3/16/20,4596,87,983,18
3/17/20,6346,110,1750,23
3/18/20,9296,150,2950,40
3/19/20,13865,206,4569,56
3/20/20,19497,255,5632,49
3/21/20,24345,301,4848,46
3/22/20,33745,414,9400,113
3/23/20,44056,556,10311,142
3/24/20,55222,781,11166,225
3/25/20,68673,1028,13451,247
3/26/20,86061,1296,17388,268
3/27/20,104804,1697,18743,401
3/28/20,124256,2222,19452,525
3/29/20,144321,2592,20065,370
3/30/20,165053,3150,20732,558
3/31/20,189967,4064,24914,914
4/1/20,216622,5114,26655,1050
4/2/20,246729,6088,30107,974
4/3/20,279183,7139,32454,1051
4/4/20,313379,8469,34196,1330
4/5/20,338779,9636,25400,1167
4/6/20,370019,10895,31240,1259
4/7/20,403521,12868,33502,1973
4/8/20,435518,14811,31997,1943
4/9/20,469124,16712,33606,1901
4/10/20,502876,18747,33752,2035
4/11/20,532879,20577,30003,1830
