"Time","Date","b_CFR","U_CFR","Low_U_CFR","Up_U_CFR"
"1",1,2020-01-31,0,0,0,0
"2",2,2020-02-01,0,0,0,0
"3",3,2020-02-02,0,0,0,0
"4",4,2020-02-03,0,0,0,0
"5",5,2020-02-04,0,0,0,0
"6",6,2020-02-05,0,0,0,0
"7",7,2020-02-06,0,0,0,0
"8",8,2020-02-07,0,0,0,0
"9",9,2020-02-08,0,0,0,0
"10",10,2020-02-09,0,0,0,0
"11",11,2020-02-10,0,0,0,0
"12",12,2020-02-11,0,0,0,0
"13",13,2020-02-12,0,0,0,0
"14",14,2020-02-13,0,0,0,0
"15",15,2020-02-14,0,0,0,0
"16",16,2020-02-15,0,0,0,0
"17",17,2020-02-16,0,0,0,0
"18",18,2020-02-17,0,0,0,0
"19",19,2020-02-18,0,0,0,0
"20",20,2020-02-19,0,0,0,0
"21",21,2020-02-20,0,0,0,0
"22",22,2020-02-21,0,0,0,0
"23",23,2020-02-22,0,0,0,0
"24",24,2020-02-23,0,0,0,0
"25",25,2020-02-24,0,0,0,0
"26",26,2020-02-25,0,0,0,0
"27",27,2020-02-26,0,0,0,0
"28",28,2020-02-27,0,0,0,0
"29",29,2020-02-28,0,0,0,0
"30",30,2020-02-29,0,0,0,0
"31",31,2020-03-01,0,0,0,0
"32",32,2020-03-02,0,0,0,0
"33",33,2020-03-03,0,0,0,0
"34",34,2020-03-04,0,0,0,0
"35",35,2020-03-05,0,0,0,0
"36",36,2020-03-06,0,0,0,0
"37",37,2020-03-07,0,0,0,0
"38",38,2020-03-08,0,0,0,0
"39",39,2020-03-09,0,0,0,0
"40",40,2020-03-10,0,0,0,0
"41",41,2020-03-11,0,0,0,0
"42",42,2020-03-12,0,0,0,0
"43",43,2020-03-13,0,0,0,0
"44",44,2020-03-14,0,0,0,0
"45",45,2020-03-15,0,0,0,0
"46",46,2020-03-16,0,0,0,0
"47",47,2020-03-17,0,0,0,0
"48",48,2020-03-18,0,0,0,0
"49",49,2020-03-19,0,0,0,0
"50",50,2020-03-20,0.0123583934088568,0.0168772923862817,0.012751395427408,0.0237862380261953
"51",51,2020-03-21,0.0138248847926267,0.0186769555787151,0.0143762748159933,0.0261760517264141
"52",52,2020-03-22,0.013986013986014,0.0183594192079131,0.0144952945823623,0.0246323112565159
"53",53,2020-03-23,0.0145808019441069,0.0191049131706197,0.0149767000725142,0.0259864437612088
"54",54,2020-03-24,0.0137825421133231,0.0181801211030545,0.0142995898461078,0.0247417235253057
"55",55,2020-03-25,0.0103397341211226,0.014474900986461,0.0105521496452793,0.0200199739116006
"56",56,2020-03-26,0.00970632155301145,0.0132521982967055,0.00995444503597294,0.0188681889450612
"57",57,2020-03-27,0.0113368983957219,0.016424006946698,0.0117927295045222,0.0212471679663031
"58",58,2020-03-28,0.0109543260304493,0.0145571959333347,0.0114002936623015,0.0198686455854405
"59",59,2020-03-29,0.00975219824140687,0.0129185348635802,0.00999856989712875,0.017916798339004
"60",60,2020-03-30,0.0119881465517241,0.0157590899397716,0.0123599766562247,0.0216709948245498
"61",61,2020-03-31,0.0112464854732896,0.0147722508471864,0.0115948617869859,0.0202131646166869
"62",62,2020-04-01,0.0113600833767587,0.0144556460540026,0.0118065127219865,0.0192167254356181
"63",63,2020-04-02,0.0122470713525027,0.0157069794841602,0.0126930824706761,0.0212421560677023
"64",64,2020-04-03,0.0149372953111271,0.0189238798447073,0.0152963138770282,0.0256149396807074
"65",65,2020-04-04,0.0166402535657686,0.0208254568770347,0.0170264521510743,0.0267958793116749
"66",66,2020-04-05,0.0180691791430046,0.0227395621059283,0.0187179591284538,0.0299753963029438
"67",67,2020-04-06,0.0193959046418063,0.0237498301250948,0.019834234340069,0.0304066633650856
"68",68,2020-04-07,0.0212492311133479,0.0258145496365494,0.021839567952516,0.0321017823735498
"69",69,2020-04-08,0.0225692642938674,0.0272077954175479,0.0230762518164522,0.0340816403283406
"70",70,2020-04-09,0.0245324850588008,0.0294656383363026,0.0252104485142426,0.0365915702144391
"71",71,2020-04-10,0.0257082184972665,0.0309848611609004,0.0264558599157306,0.0400643120487906
"72",72,2020-04-11,0.028024548302648,0.0332845412878157,0.0285405761570527,0.0415870448565795
"73",73,2020-04-12,0.0294274574184281,0.0348201707653136,0.0298422796062917,0.0418979149355571
"74",74,2020-04-13,0.0303939523828079,0.0352545502922572,0.0310555412542812,0.0421020961190159
"75",75,2020-04-14,0.0333875619315241,0.038330690433877,0.0339994695981951,0.045618635393681
"76",76,2020-04-15,0.0356085178395149,0.041098228245692,0.0359877805993958,0.0502985082019798
"77",77,2020-04-16,0.039659585785047,0.0456520417499888,0.0401316140300105,0.0533312800251462
"78",78,2020-04-17,0.0410705321285141,0.0466376864698091,0.0415718581990448,0.0551435398308851
"79",79,2020-04-18,0.0439998800275937,0.0500013268370415,0.0445724958242822,0.05807242536776
"80",80,2020-04-19,0.0454323259625615,0.0517436640301411,0.0461043010775936,0.0607275194452115
"81",81,2020-04-20,0.0458952285256497,0.0520196695541988,0.0463717733818673,0.0609211469417085
"82",82,2020-04-21,0.0477442532475985,0.0540365645721931,0.0483399012189025,0.0636114725320245
"83",83,2020-04-22,0.0491301426118121,0.0555719755595058,0.0498158140449387,0.0648246181167933
