"Time","Date","b_CFR","U_CFR","Low_U_CFR","Up_U_CFR"
"1",1,NA,0,0,0,0
"2",2,NA,0,0,0,0
"3",3,NA,0,0,0,0
"4",4,NA,0,0,0,0
"5",5,NA,0,0,0,0
"6",6,NA,0,0,0,0
"7",7,NA,0,0,0,0
"8",8,NA,0,0,0,0
"9",9,NA,0.00308641975308642,0.0052886265600523,0.00337034849300511,0.00862392398878401
"10",10,NA,0.00294550810014728,0.00505821458653947,0.00309608407386493,0.0085916453573981
"11",11,NA,0.00154440154440154,0.00277011713257898,0.00171141564830245,0.00515915681194049
"12",12,NA,0.00207146556188503,0.00380327918776275,0.00229346722733138,0.00646955687898325
"13",13,NA,0.003385240352065,0.00609884227156263,0.0036362403020248,0.00934820471752909
"14",14,NA,0.00375568294129275,0.00613113317838022,0.00400458992102476,0.00989182557400367
"15",15,NA,0.00349040139616056,0.00587711813832522,0.00375169685125777,0.00975256400994688
"16",16,NA,0.00452532254958598,0.00723852020771193,0.00479827981020465,0.0112819841191535
"17",17,NA,0.00512601452370782,0.00815195008922539,0.00543861477107995,0.0127072606444344
"18",18,NA,0.00655264326965793,0.0101251041747416,0.00693368647056489,0.015289297716386
"19",19,NA,0.00771769731094069,0.0115730236167331,0.00815927419917619,0.0172174938222413
"20",20,NA,0.00894322993173766,0.012705307335562,0.00933352883544722,0.0187320052857045
"21",21,NA,0.0108128402477943,0.0148041415647319,0.0114208320532174,0.0206923673358403
"22",22,NA,0.0122525311149803,0.0166419202790421,0.0124782259007301,0.0230799535104514
"23",23,NA,0.0140226153157188,0.0185375543486759,0.0144545188958251,0.0259442197779497
"24",24,NA,0.0168903114612828,0.0219837506972649,0.0174259190963333,0.0288583475788442
"25",25,NA,0.0195652650742471,0.0250586211092295,0.0200206734976115,0.033992329168719
"26",26,NA,0.0235503176126963,0.0297149420445693,0.0242920289055583,0.0388745001501855
"27",27,NA,0.0272978906175432,0.0344259704510199,0.0280664412353237,0.0448978926988285
"28",28,NA,0.0296873661670236,0.0368536320159533,0.0303378803621252,0.048452962907971
"29",29,NA,0.0329781037983849,0.0402175355833261,0.0335381144524198,0.0504646193196511
"30",30,NA,0.0364397875197011,0.0442430399891263,0.0373023134079233,0.0560732585595312
"31",31,NA,0.0396218527059649,0.0481640250184867,0.0404096434162425,0.0634514190355744
"32",32,NA,0.0425363574711778,0.0509244495689019,0.0430363607646805,0.063609431475529
"33",33,NA,0.0461824506687459,0.0554690063746373,0.0470938953452819,0.0679163548834271
"34",34,NA,0.0502202237887692,0.059090716686359,0.0510881849483267,0.0712557989035398
"35",35,NA,0.0524948471315699,0.0614286917449889,0.053246608975843,0.0729373119301553
"36",36,NA,0.0548980004039588,0.064347553997623,0.0555360651870258,0.0791816408498236
"37",37,NA,0.0566113644200927,0.0659618697323416,0.0575561918889796,0.0806823244933283
"38",38,NA,0.0585047464733291,0.0675135890458344,0.0591836823961786,0.0798816959332912
"39",39,NA,0.0603287936885716,0.0691091507646663,0.0614449989305659,0.0829328586951862
"40",40,NA,0.0623354419558899,0.0709626434327489,0.0631054572146723,0.0831465036896484
"41",41,NA,0.0647320309497151,0.0727667316221653,0.0654696709270098,0.0857934824493148
"42",42,NA,0.0667410042079389,0.074868485326786,0.0681102223343904,0.0867468730657663
"43",43,NA,0.0677029551563498,0.0764762539682194,0.0683870084454224,0.0867336865995326
"44",44,NA,0.0683742347740141,0.0763929513922458,0.0691780288583137,0.0886122709934888
"45",45,NA,0.0687803783743363,0.0766822512613144,0.0694735454064728,0.0902718836419915
"46",46,NA,0.0691807352188848,0.0766648550754078,0.0701109671470472,0.0875290547286593
"47",47,NA,0.0701658057291479,0.0776314220942163,0.070833808495523,0.0879596941671433
"48",48,NA,0.0709413856888806,0.0782819952367651,0.0716505158200559,0.0902994328351381
"49",49,NA,0.0715933373901476,0.0786619295221675,0.0722238190712364,0.088750126304283
